"manufacturers_name";"products_id";"products_code";"products_name";"products_description";"products_price";"products_quantity";"products_image"
NULL;"407";;"ASCENSOR LIFT";"Ascensor tipo bloqueador de punho para ascensão em cordas de material têxtil, corpo fabricado em duralumínio, empunhadura emborrachada de desenho ergonômico e gatilho bloqueador fabricado em aço inox. Possuí dois pontos para conexão de mosquetões sendo um ponto duplo na parte superior e outro ponto simples na parte inferior abaixo do cabo, também possuí orifício para evacuação de lama, água ou neve. Capacidade de utilização em cordas com diâmetro de 8 à 13 mm. Disponível na cor azul para uso na mão esquerda e vermelho para uso na mão direita. Certificação (UIAA – CE – EN 567)
Peso: 225 gr.";"230.0000";"2";"LIFT896S.jpg"
NULL;"1081";;"BOMBA D\"AGUA";"<div class=\"centrado\">
<h3><span style=\"color: #000080;\"><span style=\"font-family: Comic Sans MS;\"><strong><em>BOMBA DE AGUA CON FILTRO SHURFLO PARA NAUTICA O CASA RODANTE AUTOMATICA PARA VARIAS CANILLAS NUEVA MADE IN USA.LO MEJOR QUE HAY EN PLAZA.</em></strong></span></span></h3>
<h3><span style=\"color: #000080;\"><span style=\"font-family: Comic Sans MS;\"><strong><em>EL MODELO ES 8050-204-033 Y TIRA 1,6 GALONES POR MINUTO A UNA PRESION DE 30 PSI, CONSUME 3 AMP.</em></strong></span></span></h3>
</div>";"859.0000";"0";"bomba de agua.jpg"
NULL;"402";;"CAPACETE MONTANA FOCUS";"<p>- Material das fitas: Poli&eacute;ster. - Material do casco: Polipropileno de alto impacto. - Suporte da lanterna: ferro com pintura ep&oacute;xi. - Regulagem de tamanho: 52cm a 60cm. - Certificado: CA 14816.</p>";"115.0000";"5";"capacetefocus_p.gif"
NULL;"409";;"Fita anel 60 cm";"<p class=\"MsoNormal\" style=\"margin: 0cm 0cm 0pt;\"><span class=\"txtproduto\"><span style=\"font-family: Tahoma; font-size: 11pt;\">Fita tubular fabricada em poliamida, fechada em formato de anel.</span></span><span style=\"font-family: Tahoma; font-size: 11pt;\"><br /><span class=\"txtproduto\">Ideal para ancoragens.</span></span></p>
<p class=\"MsoNormal\" style=\"margin: 0cm 0cm 0pt;\"><span style=\"font-family: Tahoma; font-size: 11pt;\">Resist&ecirc;ncia 22kn<br />Certifica&ccedil;&atilde;o: CE</span></p>
<p><span style=\"text-decoration: underline;\"><span style=\"font-family: Tahoma; font-size: 11pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: PT-BR; mso-fareast-language: PT-BR; mso-bidi-language: AR-SA;\">Verificar disponibilidade e prazo de entrega.</span></span></p>";"18.0000";"2";"Anel60re.jpg"
NULL;"406";;"FREIO OITO 40 KN CLÁSSICO";"Descensor em formato de 8 fabricado em duraluminio, forjado e tratado termicamente, grande resistência à tração no sentido longitudinal. É fácil de utilizar tanto para rapel como para asseguramento.
NÃO é recomendado para rapel em cachoeira.
 
Peso:  145 gr.
Resist.: 40 Kn";"49.0000";"0";"oitoclassic.jpg"
NULL;"387";;"LUNETA 4x20 mm";"<p>LUNETA DE PONTARIA&nbsp;</p>
<p>&nbsp;</p>
<p>- Luneta c/ garra. Aumento: 4X ; di&acirc;metro da objetiva: 20mm</p>
<p><span style=\"\">FOTO MERAMENTE ILUSTRATIVA</span></p>
<p><span style=\"\"><strong><span style=\"\">LEGISLA&Ccedil;&Atilde;O</span></strong></span></p>
<p><span style=\"\">CARABINAS DE PRESS&Atilde;O N&Atilde;O S&Atilde;O ARMAS DE FOGO E N&Atilde;O NECESSITAM DE REGISTRO. </span></p>
<p><span style=\"\">De acordo com a Portaria n&deg; 36-DMB, de 09 de dezembro de 1999, (norma que regula o com&eacute;rcio de armas e muni&ccedil;&otilde;es aprovada pelo Minist&eacute;rio da Defesa e Ex&eacute;rcito Brasileiro) armas de press&atilde;o por a&ccedil;&atilde;o de mola, com calibre igual ou inferior a 6mm, n&atilde;o s&atilde;o armas de fogo.<br />Portanto:<br />- N&atilde;o necessitam de registro para sua aquisi&ccedil;&atilde;o, por&eacute;m sua venda s&oacute; &eacute; permitida a maiores de 18 anos com devida comprova&ccedil;&atilde;o;<br />- N&atilde;o necessitam de guia de tr&aacute;fego para transporte e deslocamento;<br />Veja abaixo a transcri&ccedil;&atilde;o do trecho da Portaria n&deg; 36-DMB/99:</span></p>
<p><span style=\"\">T&Iacute;TULO II<br />NORMAS PARA AQUISI&Ccedil;&Atilde;O DE ARMAS E MUNI&Ccedil;&Otilde;ES DE USO PERMITIDO, POR CIVIS, MILITARES E POLICIAIS<br />CAP&Iacute;TULO VII<br />Da Venda de Armas de Press&atilde;o <br />Art. 16. As armas de press&atilde;o, por a&ccedil;&atilde;o de mola ou g&aacute;s comprimido, n&atilde;o s&atilde;o armas de fogo, atiram setas met&aacute;licas, balins ou gr&atilde;os de chumbo, com energia muito menor do que uma arma de fogo. <br />Art. 17. As armas de press&atilde;o por a&ccedil;&atilde;o de mola, com calibre menor ou igual a 6 (seis) mm, podem ser vendidas pelo com&eacute;rcio n&atilde;o especializado, sem limites de quantidade, para maiores de 18 (dezoito) anos, cabendo ao comerciante a responsabilidade de comprovar a idade do comprador.<br /></span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>";"64.0000";"0";"luneta 4.20.jpg"
NULL;"388";;"LUNETA 4x32 mm RIFLE SCOP";"<p>LUNETA DE PONTARIA - Luneta c/garra. Aumento: 4 X; di&acirc;metro objetiva: 32 mm</p>
